t_max,y_ball,y_line,t_pretrial,t_windup,t_feedback,timing_tol,t_prep,ball_color,block_key,choice,t_choice,correct_choice,good_timing,id,datetime,block
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.3210165999999731,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5541860000000384,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.47887299999998734,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.48197400000000246,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5617049000000179,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.50987879999999,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5057127999999921,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.3621705000000134,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.529140399999983,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.48829640000004704,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5336367999999766,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.4220328000000336,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5896028999999544,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,-1,-1,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,-1,-1,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,-1,-1,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,-1,-1,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5608891000000199,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5202564999999822,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.4918145999999638,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5330007000000251,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.4577106000000072,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5007061999999906,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5417248999999856,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.2849060000000009,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.6095527000000175,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5397053000000028,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5747240000000261,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5247017000000028,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.45744049999998426,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.47043390000001184,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5298552000000086,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.4844960000000015,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.523721900000021,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5443495000000326,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,-1,-1,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,-1,-1,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,-1,-1,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.4454223000000411,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5783906999999658,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.4185381000000007,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5519336999999723,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,-1,-1,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.4747023000000127,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5379840999999829,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.4603746000000456,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.4925176999999735,1,1,116,191121_162108,1
